登録番号,状態,複本,受入日付,タイトル (巻・版),シリーズ,著者,出版者,出版年,ISBN,頁数,大きさ,定価,請求記号,資料区分,受入区分,受入価格,現在の配架,配架場所,一時配架,貸出区分,備考,貸出累計,タグ
101097,在架,,1995/7/10 0:00,ペニシリン開発秘話,,ジョン・シーハン,草思社,1994/11/1,4-7942-0581-3,258,20,2427,491.7-ｼﾍﾟ,図書,購入,2427,図書室,図書室,,一般貸出,,0,
101103,除籍,,1991/11/25 0:00,脳死,ＮＨＫスペシャル,立花隆,日本放送出版協会,1991/4/1,4-14-008774-9,259,20,1165,490.1-ﾀﾉ,図書,購入,1165,図書室,図書室,,一般貸出,,0,
101110,在架,,1997/8/4 0:00,ウイルスたちの秘められた生活,,ウエイン・ビドル,角川書店,1996/8/1,4-04-791244-1,234,19,1456,491.7-ﾋﾞｳ,図書,購入,1456,図書室,図書室,,一般貸出,,0,
88961,在架,,1997/12/12 0:00,シュタイナー再発見の旅,,子安美知子,小学館,1997/4/1,4-09-387216-3,225,19,1100,371.5-ｺｼ,図書,購入,1100,図書室,図書室,,一般貸出,,0,
88978,除籍,,1997/8/4 0:00,教育と教育観,,原聡介,文教書院,1990/10/1,4-8338-9016-X,166,21,1553,371.1-ｷ,図書,購入,1553,図書室,図書室,,一般貸出,,0,
88985,在架,,1980/3/31 0:00,生徒指導実践双書 １　1,1,飯田芳郎,文教書院,1978/1/1,,253,22,2000,375.2-ｾ-1,図書,購入,2000,図書室,図書室,,一般貸出,,0,
88992,除籍,,1980/3/31 0:00,進路指導の理論と技術,,古谷玲子,文教書院,1980/4/5,4-8338-8008-3,283,22,2500,375.2-ﾌｼ,図書,購入,2500,図書室,図書室,,一般貸出,,0,
89005,在架,,1982/4/26 0:00,教育の原点を求めて,,丸木政臣,あすなろ書房,1974/1/1,,237,22,0,370.4-ﾏｷ,図書,購入,0,図書室,図書室,,一般貸出,,0,
89012,在架,,1997/8/4 0:00,人間の生き方を学ぶ,,木川達爾,文教書院,1993/6/1,4-8338-9306-1,155,21,1903,370.4-ｷﾆ,図書,購入,1903,図書室,図書室,,一般貸出,,0,
89029,除籍,,1991/11/25 0:00,１０代の心理学 １　1,1,秋山さと子,ポプラ社,1991/4/1,4-591-99004-4,126,22,1456,140-ｼﾞ-1,図書,購入,1456,図書室,図書室,,一般貸出,監修：秋山さと子,0,
89036,除籍,,1991/11/25 0:00,１０代の心理学 ２　2,2,石渡昌子,ポプラ社,1991/4/1,4-591-99004-4,142,22,1456,140-ｼﾞ-2,図書,購入,1456,図書室,図書室,,一般貸出,監修：秋山さと子,0,
89043,除籍,,1991/11/25 0:00,１０代の心理学 ３　3,3,木谷麦子,ポプラ社,1991/4/1,4-591-99004-4,158,22,1456,140-ｼﾞ-3,図書,購入,1456,図書室,図書室,,一般貸出,監修：秋山さと子,0,
89234,除籍,,1993/8/3 0:00,高等学校教師,仕事－－発見シリーズ,宮田汎,実業之日本社,1992/10/1,4-408-41066-7,236,19,1000,374.3-ﾐｺ,図書,購入,1000,廃棄,廃棄,,一般貸出,,0,
89241,在架,,2000/11/21 0:00,「ゆとり教育」亡国論,,大森不二雄,ＰＨＰ研究所,2000/8/1,4-569-61267-9,195,19,1300,370.4-ｵﾕ,図書,購入,1300,図書室,図書室,,一般貸出,,0,
89258,在架,,1993/3/10 0:00,子どもの権利条約　学校は変わるのか,「教育」別冊,柿沼昌芳,国土社,1991/8/1,4-337-46015-2,205,21,1748,369.4-ｺ,図書,購入,1748,図書室,図書室,,一般貸出,,0,
89265,在架,,1985/11/21 0:00,見る　わかる　教育基本法,,永井憲一,三省堂,1985/5/1,4-385-34953-3,63,22,1200,373.2-ﾐ,図書,購入,1200,図書室,図書室,,一般貸出,,0,
89272,在架,,1995/8/21 0:00,日本教育史年表,,伊ケ崎暁生,三省堂,1990/6/1,4-385-32096-9,317,22,2718,372.1-ﾆ,図書,購入,2718,図書室,図書室,,一般貸出,,0,
89289,除籍,,1999/8/24 0:00,世界の教育改革,,佐藤三郎,東信堂,1999/3/1,4-88713-287-5,283,22,3600,372-ｾ,図書,購入,3600,図書室,図書室,,一般貸出,,0,
89296,在架,,2000/11/29 0:00,リブドラッグフリー,ヒューマンケアブックス,石川哲也,学研,2000/3/1,4-05-401049-0,223,21,2400,374.9-ﾘ,図書,購入,2400,図書室,図書室,,一般貸出,,0,
89302,除籍,,1990/10/1 0:00,英語授業実例事典,,青木昭六,大修館書店,1990/2/1,4-469-24285-3,375,20,2301,375.8-ｴ,図書,購入,2301,図書室,図書室,,一般貸出,,0,
89401,在架,,1990/12/20 0:00,校則の話,三一新書,坂本秀夫,三一書房,1990/5/1,4-380-90005-3,257,18,680,375.2-ｻｺ,図書,購入,680,図書室,図書室,,一般貸出,,0,
89418,在架,,1995/12/14 0:00,歴史はどう教えられているか,ＮＨＫブックス,中村哲,日本放送出版協会,1995/2/1,4-14-001731-7,237,19,874,375.3-ﾅﾚ,図書,購入,874,図書室,図書室,,一般貸出,,0,
89425,除籍,,1999/7/21 0:00,学校を変える、子どもが変わる,,滝充,時事通信社,1999/2/1,4-7887-9842-5,219,19,1600,375.2-ﾀｶﾞ,図書,購入,1600,図書室,図書室,,一般貸出,,0,
89432,在架,,1999/7/21 0:00,「死」を学ぶ子どもたち,,種村エイ子,教育史料出版会,1998/12/1,4-87652-352-5,258,19,1600,375-ﾀｼ,図書,購入,1600,図書室,図書室,,一般貸出,執筆協力：金森俊朗　村末勇介,0,
89449,在架,,1989/12/14 0:00,体育の学習集団論,現代授業論双書,出原泰明,明治図書,1986/10/1,4-18-748509-0,222,21,2200,375.4-ｲﾀ,図書,購入,2200,図書室,図書室,,一般貸出,,0,
89456,在架,,1998/12/22 0:00,たのしくわかる数学１００時間 上　1,1,黒田俊郎,あゆみ出版,1990/9/1,4-7519-1319-0,211,21,2500,375.4-ﾀ-1,図書,購入,2500,図書室,図書室,,一般貸出,,0,
89463,在架,,1998/12/22 0:00,たのしくわかる数学１００時間 下　2,2,黒田俊郎,あゆみ出版,1991/1/1,4-7519-1320-4,211,21,2500,375.4-ﾀ-2,図書,購入,2500,図書室,図書室,,一般貸出,,0,
89470,在架,,1999/7/21 0:00,中学校の総合学習の考え方・進め方,,加藤幸次,黎明書房,1998/11/1,4-654-01614-7,219,21,2400,375-ﾁ,図書,購入,2400,図書室,図書室,,一般貸出,,0,
89562,在架,,1999/7/21 0:00,２１世紀の授業 ２　2,2,新しい授業をつくる会,国土社,1998/12/1,4-337-67802-6,190,21,2200,375.1-ﾆ-2,図書,購入,2200,図書室,図書室,,一般貸出,,0,
89579,除籍,,1999/7/21 0:00,２１世紀の授業 ３　3,3,新しい授業をつくる会,国土社,1998/10/1,4-337-67803-4,210,21,2200,375.1-ﾆ-3,図書,購入,2200,図書室,図書室,,一般貸出,,0,
89586,在架,,1999/7/21 0:00,２１世紀の授業 ４　4,4,新しい授業をつくる会,国土社,1998/12/1,4-337-67804-2,198,21,2200,375.1-ﾆ-4,図書,購入,2200,図書室,図書室,,一般貸出,,0,
89593,除籍,,1999/7/21 0:00,２１世紀の授業 ５　5,5,新しい授業をつくる会,国土社,1998/10/1,4-337-67805-0,214,21,2200,375.1-ﾆ-5,図書,購入,2200,図書室,図書室,,一般貸出,,0,
89609,在架,,1999/7/21 0:00,２１世紀の授業 ６　6,6,新しい授業をつくる会,国土社,1998/11/1,4-337-67806-9,198,21,2200,375.1-ﾆ-6,図書,購入,2200,図書室,図書室,,一般貸出,,0,
89616,在架,,1994/12/8 0:00,生徒を英語好きにする３分間話,,太田垣正義,山口書店,1989/1/1,4-8411-0744-4,188,21,1200,375.8-ｾ,図書,購入,1200,図書室,図書室,,一般貸出,,1,
89623,在架,,1991/9/10 0:00,体育の授業と教授技術,体育授業叢書,阪田尚彦,大修館書店,1990/1/1,4-469-26173-4,217,22,1942,375.4-ｻﾀ,図書,購入,1942,図書室,図書室,,一般貸出,,0,
89630,在架,,1999/3/26 0:00,たのしくわかる物理実験事典,,左巻健男,東京書籍,1998/9/1,4-487-73138-0,462,21,3800,375.4-ﾀ,図書,購入,3800,図書室,図書室,,一般貸出,,0,
89647,在架,,1993/1/20 0:00,社会科＝１本のバナナから,授業づくりハンドブック,大津和子,国土社,1987/11/1,4-337-64603-5,111,21,1000,375.3-ｵｼ,図書,購入,1000,図書室,図書室,,一般貸出,,0,
89654,在架,,1999/7/21 0:00,生きる力をはぐくむ授業改善,中学校新実践課題への対応,渋沢文隆,教育出版,1998/8/1,4-316-34740-3,161,21,2200,375.1-ｲ,図書,購入,2200,図書室,図書室,,一般貸出,,0,
89661,在架,,1999/7/21 0:00,総合学習・選択学習の展開,中学校新実践課題への対応,渋沢文隆,教育出版,1998/8/1,4-316-34750-0,185,21,2400,375-ｿ,図書,購入,2400,図書室,図書室,,一般貸出,,0,
89678,在架,,1991/9/10 0:00,新しい体育の授業研究,体育授業叢書,高橋健夫,大修館書店,1989/4/1,4-469-26161-0,221,22,2000,375.4-ﾀｱ,図書,購入,2000,図書室,図書室,,一般貸出,,0,
89685,在架,,1987/7/17 0:00,英語リーディング指導の基礎,,高梨庸雄,研究社出版,1987/4/1,4-327-41025-X,244,21,2600,375.8-ﾀｴ,図書,購入,2600,図書室,図書室,,一般貸出,文献：ｐ２２５～２３９,0,
89692,在架,,1991/3/29 0:00,国語と私たち,高校で何を学ぶか,小野牧夫,大月書店,1990/4/1,4-272-40231-5,206,19,1301,375.8-ｺ,図書,購入,1301,図書室,図書室,,一般貸出,,0,
89708,在架,,1991/3/29 0:00,理科と私たち,高校で何を学ぶか,池内了,大月書店,1990/5/1,4-272-40232-3,197,19,1301,375.4-ﾘ,図書,購入,1301,図書室,図書室,,一般貸出,,0,
89715,在架,,1991/3/29 0:00,数学と私たち,高校で何を学ぶか,何森仁,大月書店,1990/6/1,4-272-40233-1,188,19,1301,375.4-ｽ,図書,購入,1301,図書室,図書室,,一般貸出,,0,
89814,在架,,1999/7/21 0:00,子どもが創る総合学習,,横浜市立日枝小学校,黎明書房,1998/11/1,4-654-01615-5,214,21,2200,375-ﾖｺ,図書,購入,2200,図書室,図書室,,一般貸出,監修：高浦勝義,0,
89821,除籍,,1983/8/9 0:00,幼児の言語発達と指導,,芳賀純,家政教育社,1982/3/1,,195,22,1800,376.1-ﾊﾖ,図書,購入,1800,図書室,図書室,,一般貸出,主要引用文献：各章末,0,
89838,除籍,,1990/7/20 0:00,保育の一日とその周辺,,津守真,フレーベル館,1989/5/1,4-577-81091-3,244,21,1553,376.1-ﾂﾎ,図書,購入,1553,図書室,図書室,,一般貸出,,0,
89845,除籍,,1993/6/30 0:00,日本国「受験ユーモア」五十五年史,,旺文社,旺文社,1985/2/1,4-01-009601-2,302,22,1500,376.8-ﾆ,図書,購入,1500,図書室,図書室,,一般貸出,,0,
89852,除籍,,1981/3/31 0:00,使ってあそぶ,ひまわり文庫の伝承手づくり遊び,徳村彰,草土文化,1980/1/1,,112,21,950,376.1-ﾄﾂ,図書,購入,950,図書室,図書室,,一般貸出,,0,
89869,除籍,,1981/3/31 0:00,飾ってあそぶ,ひまわり文庫の伝承手づくり遊び,徳村彰,草土文化,1979/1/1,,112,21,950,750-ﾄｶ,図書,購入,950,図書室,図書室,,一般貸出,,0,
89876,除籍,,1981/3/31 0:00,染めてあそぶ,ひまわり文庫の伝承手づくり遊び,徳村彰,草土文化,1980/1/1,,112,21,950,754.9-ﾄｿ,図書,購入,950,図書室,図書室,,一般貸出,,0,
89883,在架,,1993/3/10 0:00,帰国生のいる教室,ＮＨＫブックス,渡部淳,日本放送出版協会,1991/8/1,4-14-001631-0,228,19,757,375-ｷ,図書,購入,757,図書室,図書室,,一般貸出,,0,
89890,除籍,,1998/12/10 0:00,日本の高校生,ＮＨＫブックス,千石保,日本放送出版協会,1998/3/1,4-14-001824-0,238,19,870,376.4-ｾﾆ,図書,購入,870,図書室,図書室,,一般貸出,,0,
89906,在架,,1999/8/21 0:00,さよなら古い講義,,田中一,北海道大学図書刊行会,1999/1/1,4-8329-3261-6,245,19,1800,377.1-ﾀｻ,図書,購入,1800,図書室,図書室,,一般貸出,,0,
89913,除籍,,1987/12/16 0:00,希望をありがとう,,鹿島和夫,講談社,1987/3/1,4-06-202661-9,211,20,1000,378-ｶｷ,図書,購入,1000,図書室,図書室,,一般貸出,,0,
89920,在架,,1999/12/1 0:00,もうひとつの手話,,斉藤道雄,晶文社,1999/6/1,4-7949-6395-5,237,20,1900,378.2-ｻﾓ,図書,購入,1900,図書室,図書室,,一般貸出,,0,
89937,除籍,,1983/8/9 0:00,アヴェロンの野生児,,ロジャー・シャタック,家政教育社,1982/3/1,,247,20,1300,378.8-ｼｱ,図書,購入,1300,図書室,図書室,,一般貸出,,0,
89944,在架,,1984/2/9 0:00,百万人の手話教室 ３　3,3,丸山浩路,ダイナミックセラーズ,1981/5/1,,213,21,890,378.2-ﾏﾋ-3,図書,購入,890,図書室,図書室,,一般貸出,,0,
89951,在架,,1984/2/9 0:00,百万人の手話教室 ４　4,4,丸山浩路,ダイナミックセラーズ,1982/1/1,,213,21,980,378.2-ﾏﾋ-4,図書,購入,980,図書室,図書室,,一般貸出,,0,
89968,在架,,1984/2/9 0:00,百万人の手話教室 ５　5,5,丸山浩路,ダイナミックセラーズ,1982/1/1,,213,21,980,378.2-ﾏﾋ-5,図書,購入,980,図書室,図書室,,一般貸出,,0,
89975,除籍,,1989/12/26 0:00,障害者心理,,中司利一,ミネルヴァ書房,1988/4/1,4-623-01827-X,215,21,2300,378-ﾅｼ,図書,購入,2300,図書室,図書室,,一般貸出,文献：ｐ２０８～２１１,0,
89982,在架,,1998/12/10 0:00,点字・はじめの一歩,点字の世界へようこそ,黒崎惠津子,汐文社,1998/3/1,4-8113-7212-3,61,22,1500,378-ｸﾃ,図書,購入,1500,図書室,図書室,,一般貸出,,0,
89999,在架,,2000/10/11 0:00,絵でわかるやさしい手話,,田中のり子,成美堂出版,2000/4/1,4-415-00737-6,223,21,1200,378.2-ﾀｴ,図書,購入,1200,図書室,図書室,,一般貸出,,0,
90001,在架,,2000/1/31 0:00,子どもという哲学者,,ピエーロ・フェルッチ,草思社,1999/8/1,4-7942-0907-X,198,20,1500,379.9-ﾌｺ,図書,購入,1500,図書室,図書室,,一般貸出,,0,
90018,除籍,,1982/11/25 0:00,子どもが家を出ていくとき,,リチャーズ,晶文社,1982/9/1,,231,20,1200,367.3-ﾘｺ,図書,購入,1200,図書室,図書室,,一般貸出,,0,
90025,在架,,1996/12/4 0:00,教室で楽しむ！手話レッスン,,福石幸紀,草土文化,1996/3/1,4-7945-0689-9,110,21,1165,378.2-ﾌｷ,図書,購入,1165,図書室,図書室,,一般貸出,,0,
90032,在架,,1999/7/13 0:00,日本の食風土記,,市川健夫,白水社,1998/12/1,4-560-04067-2,213,20,2200,383.8-ｲﾆ,図書,購入,2200,図書室,図書室,,一般貸出,,0,
90049,在架,,1990/12/20 0:00,これはタダモノではない芋よ！,食卓のなぜ学ストーリー,大路和子,農山漁村文化協会,1990/2/1,4-540-89115-4,291,20,1301,383.8-ｵｺ,図書,購入,1301,図書室,図書室,,一般貸出,,0,
90056,在架,,1999/3/26 0:00,学校が楽しい,,,蕗薹書房,1998/7/1,4-7952-6095-8,59,26,900,376.4-ｶﾞ,図書,購入,900,図書室,図書室,,一般貸出,,0,
90063,在架,,1987/6/18 0:00,高等学校国語科新しい授業の工夫２０選,,大平浩哉,大修館書店,1986/9/1,4-469-22047-7,158,26,1800,375.8-ｵｺ,図書,購入,1800,図書室,図書室,,一般貸出,,0,
90070,在架,親,1997/8/4 0:00,日本の年中行事百科 １　1,1,,河出書房新社,1997/4/1,4-309-60980-5,63,29,3000,386-ﾆ-1,図書,購入,3000,図書室,図書室,,一般貸出,監修：岩井宏実,0,
89487,在架,,1999/8/24 0:00,川勝先生の物理授業 上巻　1,1,川勝博,海鳴社,1997/10/1,4-87525-179-3,218,22,2400,375.4-ｶｶ-1,図書,購入,2400,図書室,図書室,,一般貸出,,0,
89494,在架,,1999/8/24 0:00,川勝先生の物理授業 中巻　2,2,川勝博,海鳴社,1998/4/1,4-87525-180-7,260,22,2800,375.4-ｶｶ-2,図書,購入,2800,図書室,図書室,,一般貸出,,0,
89500,在架,,1999/8/24 0:00,川勝先生の物理授業 下巻　3,3,川勝博,海鳴社,1998/9/1,4-87525-181-5,314,22,2800,375.4-ｶｶ-3,図書,購入,2800,図書室,図書室,,一般貸出,,0,
89517,在架,,1991/9/10 0:00,体育科教育学,現代の教育学,成田十次郎,ミネルヴァ書房,1987/7/1,4-623-01760-5,255,22,2200,375.4-ﾀ,図書,購入,2200,図書室,図書室,,一般貸出,,0,
89524,在架,,1989/10/24 0:00,共学家庭科の理論,,村田泰彦,光生館,1986/3/1,4-332-20036-5,233,22,2000,375.5-ｷ,図書,購入,2000,図書室,図書室,,一般貸出,,0,
89531,在架,,1989/10/24 0:00,共学家庭科の実践,,村田泰彦,光生館,1986/2/1,4-332-20035-7,267,22,2000,375.5-ｷ,図書,購入,2000,図書室,図書室,,一般貸出,,0,
89548,在架,,1993/1/20 0:00,「みんながうまくなること」を教える体育,体育授業叢書,出原泰明,大修館書店,1991/1/1,4-469-26193-9,264,22,2204,375.4-ｲﾐ,図書,購入,2204,図書室,図書室,,一般貸出,,0,
89555,除籍,,1999/7/21 0:00,２１世紀の授業 １　1,1,新しい授業をつくる会,国土社,1998/10/1,4-337-67801-8,205,21,2200,375.1-ﾆ-1,図書,購入,2200,図書室,図書室,,一般貸出,,0,
89722,在架,,1991/3/29 0:00,外国語と私たち,高校で何を学ぶか,磯山瀞一,大月書店,1990/7/1,4-272-40234-X,182,19,1301,375.8-ｶﾞ,図書,購入,1301,図書室,図書室,,一般貸出,,0,
89739,在架,,1991/3/29 0:00,社会科と私たち,高校で何を学ぶか,菊地宏義,大月書店,1990/9/1,4-272-40235-8,200,19,1301,375.3-ｼ,図書,購入,1301,図書室,図書室,,一般貸出,,0,
89746,除籍,,1991/3/29 0:00,労働・職業・生活の学習,高校で何を学ぶか,太田政男,大月書店,1990/10/1,4-272-40236-6,191,19,1301,375.3-ﾛ,図書,購入,1301,図書室,図書室,,一般貸出,,0,
89753,除籍,,1985/11/21 0:00,『学生時代』熱中宣言,,日比野正己,講談社,1985/4/1,4-06-201862-4,249,19,1000,377-ﾋｶﾞ,図書,購入,1000,図書室,図書室,,一般貸出,,0,
89760,在架,,1994/4/21 0:00,偏差値で人生を決めないで,,伊藤【コウ】二,ＣＩＣカナダ国際大学出版局,1993/1/1,4-915955-01-X,351,19,1850,377.2-ｲﾍ,図書,寄贈,1850,図書室,図書室,,一般貸出,,0,
89777,在架,,1985/11/28 0:00,進化とはなにか,,井尻正二,築地書館,1997/1/1,4-8067-4567-7,169,19,1400,467.5-ｲｼ,図書,購入,1400,図書室,図書室,,一般貸出,初版の書名：進化とは何か,0,
89784,在架,,1998/10/16 0:00,保育は恋といっしょや,,森上史朗,小学館,1998/4/1,4-09-837325-4,207,19,1420,376.1-ﾓﾎ,図書,購入,1420,なるにはＢＯＯＫＳ,なるにはＢＯＯＫＳ,,一般貸出,,1,
89791,在架,,1999/12/1 0:00,キミの悩みに乾杯！,,,毎日新聞社,1999/2/1,4-620-31277-0,236,19,1600,376.4-ｷ,図書,購入,1600,図書室,図書室,,一般貸出,,0,
89807,在架,,1989/12/26 0:00,保育の歴史,青木教育叢書,浦辺史,青木書店,1981/4/1,,280,20,1500,376.1-ﾎ,図書,購入,1500,図書室,図書室,,一般貸出,,0,
90087,在架,子,1997/8/4 0:00,日本の年中行事百科 ２　2,2,,河出書房新社,1997/4/1,4-309-60980-5,51,29,3000,386-ﾆ-2,図書,購入,3000,図書室,図書室,,一般貸出,監修：岩井宏実,0,
90094,在架,子,1997/8/4 0:00,日本の年中行事百科 ３　3,3,,河出書房新社,1997/4/1,4-309-60980-5,55,29,3000,386-ﾆ-3,図書,購入,3000,図書室,図書室,,一般貸出,監修：岩井宏実,0,
90100,在架,子,1997/8/4 0:00,日本の年中行事百科 ４　4,4,,河出書房新社,1997/4/1,4-309-60980-5,51,29,3000,386-ﾆ-4,図書,購入,3000,図書室,図書室,,一般貸出,監修：岩井宏実,0,
90117,在架,子,1997/8/4 0:00,日本の年中行事百科 ５　5,5,,河出書房新社,1997/4/1,4-309-60980-5,55,29,3000,386-ﾆ-5,図書,購入,3000,図書室,図書室,,一般貸出,監修：岩井宏実,0,
90124,在架,,1992/5/1 0:00,男女共学のための家庭科展開事例集,,入江一恵,一橋出版,1989/1/1,4-89196-102-3,606,27,9223,375.5-ﾀﾞ,図書,購入,9223,図書室,図書室,,一般貸出,,0,
90131,在架,,1992/5/1 0:00,国際理解教育展開事例集,,米田伸次,一橋出版,1990/1/1,4-89196-106-6,287,27,7282,375-ｺ,図書,購入,7282,図書室,図書室,,一般貸出,,0,
90148,在架,,1992/5/1 0:00,オーラルコミュニケーション展開事例集,,新里真男,一橋出版,1991/1/1,4-89196-107-4,355,27,7282,375.8-ｵ,図書,購入,7282,図書室,図書室,,一般貸出,,0,
90155,在架,,1992/5/1 0:00,コンピュータの導入と活用展開事例集,,安藤明之,一橋出版,1991/5/1,4-89196-103-1,597,27,9223,375.8-ｺ,図書,購入,9223,図書室,図書室,,一般貸出,,0,
90230,在架,子,2000/1/11 0:00,「心の教育」実践大系 ８　8,8,尾田幸雄 茂木喬 蛭田政弘,日本図書センター,1999/9/1,4-8205-1983-2,259,27,6500,370.8-ｺ-8,図書,購入,6500,図書室,図書室,,一般貸出,,0,
90247,在架,子,2000/1/11 0:00,「心の教育」実践大系 ９　9,9,尾田幸雄 小野健知 押谷慶昭,日本図書センター,1999/9/1,4-8205-1983-2,258,27,6500,370.8-ｺ-9,図書,購入,6500,図書室,図書室,,一般貸出,,0,
90254,在架,子,2000/1/11 0:00,「心の教育」実践大系 １０　10,10,尾田幸雄 岩佐信道 西野真由美,日本図書センター,1999/9/1,4-8205-1983-2,346,27,6500,370.8-ｺ-10,図書,購入,6500,図書室,図書室,,一般貸出,,0,
90261,在架,,1982/1/10 0:00,社会科のための民俗学,,佐藤照雄,東京法令出版,1981/1/1,,738,27,8000,375.3-ｼ,図書,購入,8000,図書室,図書室,,一般貸出,監修：桜井徳太郎,0,
90278,在架,,1999/7/13 0:00,手話で歌の心を表現しよう,,森本行雄,音楽之友社,1998/12/1,4-276-31483-6,127,26,1600,378.2-ﾓｼ,図書,購入,1600,図書室,図書室,,一般貸出,,0,
90285,在架,,1983/4/20 0:00,国語科指導資料集 第１巻　1,1,,東京法令出版,1982/1/1,,506,27,6000,375.8-ｺ-1,図書,購入,6000,図書室,図書室,,貸出禁止,,0,
90292,在架,,1983/4/20 0:00,国語科指導資料集 第２巻　2,2,,東京法令出版,1982/1/1,,571,27,6000,375.8-ｺ-2,図書,購入,6000,図書室,図書室,,貸出禁止,,0,
90308,在架,,1983/4/20 0:00,国語科指導資料集 第３巻　3,3,,東京法令出版,1982/1/1,,522,27,6000,375.8-ｺ-3,図書,購入,6000,図書室,図書室,,貸出禁止,,0,
90315,除籍,,1994/3/22 0:00,実践・問題行動教育大系 １　1,1,春木豊 菅野純,開隆堂出版,1991/1/1,,243,27,6000,371.4-ｼﾞ-1,図書,購入,6000,図書室,図書室,,一般貸出,監修：間宮武ほか,0,
90322,除籍,,1994/3/22 0:00,実践・問題行動教育大系 ２　2,2,多田俊文,開隆堂出版,1991/1/1,,243,27,6000,371.4-ｼﾞ-2,図書,購入,6000,図書室,図書室,,一般貸出,監修：間宮武ほか,0,
90339,除籍,,1994/3/22 0:00,実践・問題行動教育大系 ３　3,3,菊地和典,開隆堂出版,1991/1/1,,222,27,6000,371.4-ｼﾞ-3,図書,購入,6000,図書室,図書室,,一般貸出,監修：間宮武ほか,0,
90346,除籍,,1994/3/22 0:00,実践・問題行動教育大系 ４　4,4,内山喜久雄 坂野雄二,開隆堂出版,1991/1/1,,248,27,6000,371.4-ｼﾞ-4,図書,購入,6000,図書室,図書室,,一般貸出,監修：間宮武ほか,0,
90353,除籍,,1994/3/22 0:00,実践・問題行動教育大系 ５　5,5,稲村博,開隆堂出版,1991/1/1,,273,27,6000,371.4-ｼﾞ-5,図書,購入,6000,図書室,図書室,,一般貸出,監修：間宮武ほか,0,
90360,除籍,,1994/3/22 0:00,実践・問題行動教育大系 ６　6,6,真仁田昭,開隆堂出版,1991/1/1,,243,27,6000,371.4-ｼﾞ-6,図書,購入,6000,図書室,図書室,,一般貸出,監修：間宮武ほか,0,
90377,除籍,,1994/3/22 0:00,実践・問題行動教育大系 ７　7,7,真仁田昭 堀内聡,開隆堂出版,1991/1/1,,262,27,6000,371.4-ｼﾞ-7,図書,購入,6000,図書室,図書室,,一般貸出,監修：間宮武ほか,0,
90384,除籍,,1994/3/22 0:00,実践・問題行動教育大系 ８　8,8,堀内守,開隆堂出版,1991/1/1,,260,27,6000,371.4-ｼﾞ-8,図書,購入,6000,図書室,図書室,,一般貸出,監修：間宮武ほか,0,
90476,除籍,,1994/3/22 0:00,実践・問題行動教育大系 １７　17,17,福島脩美,開隆堂出版,1991/1/1,,254,27,6000,371.4-ｼﾞ-17,図書,購入,6000,図書室,図書室,,一般貸出,監修：間宮武ほか,0,
90483,除籍,,1994/3/22 0:00,実践・問題行動教育大系 １８　18,18,坂本昇一 比留間一成,開隆堂出版,1991/1/1,,236,27,6000,371.4-ｼﾞ-18,図書,購入,6000,図書室,図書室,,一般貸出,監修：間宮武ほか,0,
90490,除籍,,1994/3/22 0:00,実践・問題行動教育大系 １９　19,19,押谷慶昭 古川清行,開隆堂出版,1991/1/1,,240,27,6000,371.4-ｼﾞ-19,図書,購入,6000,図書室,図書室,,一般貸出,監修：間宮武ほか,0,
90506,除籍,,1994/3/22 0:00,実践・問題行動教育大系 ２０　20,20,宇留田敬一 井上裕吉,開隆堂出版,1991/1/1,,228,27,6000,371.4-ｼﾞ-20,図書,購入,6000,図書室,図書室,,一般貸出,監修：間宮武ほか,0,
90513,除籍,,1994/3/22 0:00,実践・問題行動教育大系 ２１　21,21,高石昌弘 鈴木美智子,開隆堂出版,1991/1/1,,247,27,6000,371.4-ｼﾞ-21,図書,購入,6000,図書室,図書室,,一般貸出,監修：間宮武ほか,0,
90520,除籍,,1994/3/22 0:00,実践・問題行動教育大系 ２２　22,22,杉本一義,開隆堂出版,1991/1/1,,265,27,6000,371.4-ｼﾞ-22,図書,購入,6000,図書室,図書室,,一般貸出,監修：間宮武ほか,0,
90537,除籍,,1994/3/22 0:00,実践・問題行動教育大系 ２３　23,23,新田健一,開隆堂出版,1991/1/1,,231,27,6000,371.4-ｼﾞ-23,図書,購入,6000,図書室,図書室,,一般貸出,監修：間宮武ほか,0,
90544,除籍,,1994/3/22 0:00,実践・問題行動教育大系 ２４　24,24,下村哲夫,開隆堂出版,1991/1/1,,228,27,6000,371.4-ｼﾞ-24,図書,購入,6000,図書室,図書室,,一般貸出,監修：間宮武ほか,0,
90551,除籍,,1994/3/22 0:00,実践・問題行動教育大系 ２５　25,25,原野広太郎,開隆堂出版,1991/1/1,,233,27,5250,371.4-ｼﾞ-25,図書,購入,5250,図書室,図書室,,一般貸出,監修：間宮武ほか,0,
90568,除籍,,1994/3/22 0:00,実践・問題行動教育大系 ２６　26,26,実践・問題行動教育大系編集部,開隆堂出版,1991/1/1,,191,27,5250,371.4-ｼﾞ-26,図書,購入,5250,図書室,図書室,,一般貸出,監修：間宮武ほか,0,
90575,在架,,1986/7/31 0:00,話題源国語 上巻　1,1,川本信幹,東京法令出版,1990/1/1,,341,26,4855,375.8-ﾜ-1,図書,購入,4855,図書室,図書室,,一般貸出,,0,
